feature,importance
amount,0.09220465098615711
duration,0.08419231763544228
other_parties_A102,0.009168319279188854
installment_commitment,0.006158371489127111
property_magnitude_A122,0.004721155572348961
age,0.0027800890279868345
personal_status_A95,0.0026821486299331643
purpose_A43,0.002563282756855871
personal_status_A93,0.002176494487165384
residence_since,0.0016740290755633048
employment_A75,0.0014641003951672065
credit_history_A31,0.0014623202935528886
property_magnitude_A124,0.0013785097639449136
other_parties_A103,0.0009406227308914922
employment_A73,0.0009292180689855377
own_telephone_A191,0.000923493937653109
other_payment_plans_A143,0.0009135815286676292
job_A172,0.0008935401616495121
savings_status_A65,0.0008280358099770431
num_dependents,0.0008204814233546603
employment_A74,0.0008039155693078232
housing_A153,0.0007507211913258196
housing_A152,0.0005763480291236587
savings_status_A63,0.0005693983967573785
personal_status_A91,0.0005208726360847885
personal_status_A94,0.0005045586937831108
checking_status_A11,0.000503279676352116
housing_A151,0.0005021517353130985
credit_history_A32,0.0003445442779281046
job_A173,0.0003391203428353438
savings_status_A62,0.00033445098565748204
property_magnitude_A121,0.00032739289448970553
purpose_A42,0.0002875028947749812
existing_credits,0.0002680787405766583
checking_status_A13,0.00013389790726262685
purpose_A47,0.0
purpose_A46,0.0
purpose_A44,0.0
purpose_A45,0.0
purpose_A40,0.0
credit_history_A34,0.0
purpose_A41,0.0
purpose_A410,0.0
checking_status_A14,0.0
checking_status_A12,0.0
credit_history_A30,0.0
credit_history_A33,0.0
savings_status_A64,0.0
savings_status_A61,0.0
purpose_A48,0.0
purpose_A49,0.0
other_parties_A101,0.0
employment_A71,0.0
employment_A72,0.0
personal_status_A92,0.0
other_payment_plans_A141,0.0
property_magnitude_A123,0.0
other_payment_plans_A142,0.0
job_A171,0.0
job_A174,0.0
own_telephone_A192,0.0
foreign_worker_A201,0.0
foreign_worker_A202,0.0
