Student ID,Sex,Age,Growth,Weight,Shoe size,Course,Faculty,Year
S0001,Male,33,171,58.1,35,Engineering,Business,6
S0002,Female,32,156,56.5,35,Engineering,Humanities,5
S0003,Female,17,170,69.2,35,Economics,Business,4
S0004,Male,24,175,72.9,35,Physics,Medicine,4
S0005,Female,31,168,64.8,35,Business,Business,4
S0006,Female,19,159,59.2,35,Chemistry,Science,4
S0007,Male,27,184,60.0,35,Chemistry,Engineering,4
S0008,Female,21,166,69.9,35,Business,Science,2
S0009,Female,21,165,55.6,35,Chemistry,Humanities,4
S0010,Male,20,177,75.1,35,Engineering,Medicine,1
S0011,Male,30,174,65.3,35,Art,Medicine,5
S0012,Female,26,152,56.2,35,Business,Humanities,5
S0013,Male,19,167,66.0,35,Mathematics,Engineering,4
S0014,Male,34,191,68.5,35,Engineering,Medicine,3
S0015,Female,28,161,48.4,35,Biology,Business,5
S0016,Female,31,176,72.5,35,Economics,Medicine,3
S0017,Male,34,175,60.8,35,Engineering,Science,5
S0018,Male,34,183,92.7,35,Physics,Humanities,3
S0019,Female,30,160,62.2,35,Chemistry,Engineering,6
S0020,Female,34,150,45.0,35,Biology,Medicine,4
S0021,Male,19,181,61.4,35,Business,Humanities,4
S0022,Male,21,174,80.0,35,Psychology,Humanities,2
S0023,Female,30,159,61.2,35,Mathematics,Science,5
S0024,Female,29,175,50.2,35,Chemistry,Engineering,6
S0025,Female,29,175,71.3,35,Biology,Business,6
S0026,Female,35,177,73.9,35,Chemistry,Humanities,5
S0027,Female,19,158,58.1,35,Biology,Engineering,4
S0028,Male,35,171,69.7,35,Economics,Humanities,5
S0029,Male,33,186,83.7,35,Psychology,Business,3
S0030,Female,23,161,67.8,35,Chemistry,Science,4
S0031,Male,32,176,63.8,35,Mathematics,Medicine,5
S0032,Male,33,173,64.2,35,Economics,Humanities,6
S0033,Female,35,156,66.0,35,Biology,Medicine,5
S0034,Female,27,170,70.7,35,Psychology,Science,4
S0035,Female,32,178,78.0,35,Physics,Engineering,5
S0036,Male,29,169,79.5,35,Computer Science,Humanities,4
S0037,Male,30,178,79.7,35,Psychology,Humanities,6
S0038,Female,34,171,64.9,35,Computer Science,Science,5
S0039,Female,28,171,61.5,35,Mathematics,Business,6
S0040,Female,22,160,57.9,35,Biology,Engineering,4
S0041,Male,20,173,63.9,35,Chemistry,Humanities,2
S0042,Female,18,166,62.6,35,Physics,Science,4
S0043,Male,19,166,59.9,35,Physics,Engineering,3
S0044,Female,30,154,54.7,35,Computer Science,Engineering,6
S0045,Female,34,157,57.9,35,Chemistry,Humanities,5
S0046,Female,24,165,58.4,35,Business,Engineering,6
S0047,Male,30,174,71.9,35,Biology,Science,3
S0048,Female,34,174,62.7,35,Physics,Business,3
S0049,Female,20,161,60.3,35,Art,Science,4
S0050,Male,30,185,80.5,35,Physics,Engineering,4
S0051,Male,22,174,70.6,35,Chemistry,Science,4
S0052,Male,28,176,67.5,35,Engineering,Engineering,5
S0053,Female,24,164,48.2,35,Physics,Humanities,4
S0054,Male,31,179,68.7,35,Engineering,Science,4
S0055,Female,32,167,53.8,35,Biology,Business,3
S0056,Male,24,189,86.6,35,Economics,Science,4
