Age,Growth,Weight,Shoe size
24,174,71.4,35
30,183,70.2,35
25,156,63.9,35
32,173,78.7,35
31,172,62.0,35
30,152,54.8,35
33,160,55.6,35
21,172,80.5,35
28,193,76.6,35
17,166,60.1,35
30,182,76.2,35
25,176,59.1,35
26,165,59.6,35
31,147,53.6,35
24,187,84.1,35
20,169,63.6,35
26,181,72.0,35
32,166,66.6,35
35,168,70.6,35
18,164,69.6,35
22,169,51.5,35
19,164,53.9,35
34,172,68.5,35
27,150,48.3,35
27,161,57.4,35
31,180,56.3,35
19,168,69.3,35
29,180,76.6,35
17,161,60.7,35
35,189,67.4,35
25,165,52.5,35
33,159,55.5,35
28,172,70.3,35
18,173,87.2,35
23,178,71.4,35
34,161,66.2,35
19,181,66.9,35
32,174,69.2,35
20,168,59.2,35
34,182,71.5,35
20,182,69.6,35
27,169,75.2,35
31,163,57.0,35
17,179,72.7,35
18,180,82.0,35
31,159,52.8,35
28,188,71.1,35
31,169,68.0,35
19,162,55.1,35
27,158,60.3,35
17,167,55.0,35
31,190,82.3,35
26,182,50.9,35
29,162,71.7,35
17,158,56.1,35
18,183,63.4,35
32,156,58.9,35
32,161,62.1,35
33,153,61.7,35
26,168,64.7,35
23,182,72.6,35
19,175,73.2,35
34,168,70.7,35
22,161,45.0,35
28,187,77.8,35
26,172,67.3,35
25,172,73.3,35
19,170,61.7,35
24,174,71.5,35
20,183,85.3,35
23,163,62.4,35
34,171,70.2,35
23,169,71.9,35
21,173,70.5,35
22,180,66.3,35
20,161,76.0,35
33,170,73.5,35
30,173,62.6,35
29,176,61.4,35
19,180,80.2,35
18,153,51.8,35
25,171,68.8,35
18,161,58.7,35
25,164,63.0,35
24,185,79.8,35
35,180,83.2,35
21,171,68.9,35
26,185,74.1,35
35,166,52.5,35
19,153,45.9,35
29,169,67.4,35
22,161,56.4,35
23,190,81.4,35
34,170,60.8,35
24,159,65.4,35
17,158,64.9,35
17,172,64.1,35
23,170,72.1,35
32,171,79.9,35
20,181,81.3,35
27,164,75.3,35
17,178,81.4,35
29,177,82.4,35
20,177,80.1,35
29,192,83.2,35
31,170,55.1,35
18,159,61.0,35
32,184,85.8,35
18,160,63.3,35
28,164,60.4,35
23,182,85.1,35
35,186,83.8,35
18,175,55.0,35
25,179,66.5,35
25,174,66.8,35
22,157,54.7,35
33,173,78.8,35
27,167,64.4,35
32,171,65.6,35
35,163,52.3,35
22,163,59.8,35
27,172,73.1,35
26,180,65.7,35
34,170,63.6,35
17,161,64.0,35
33,176,74.3,35
21,179,79.2,35
18,158,52.0,35
27,159,55.6,35
17,169,71.1,35
23,178,80.2,35
31,145,51.6,35
32,168,73.7,35
17,160,64.9,35
24,178,64.6,35
27,163,59.6,35
23,164,70.7,35
22,162,64.9,35
23,174,74.1,35
23,185,87.9,35
19,165,59.0,35
35,178,71.1,35
30,161,55.2,35
35,180,83.1,35
31,164,57.7,35
18,188,86.4,35
35,163,62.5,35
20,176,64.6,35
19,151,51.8,35
30,182,74.2,35
31,149,49.8,35
30,173,69.6,35
25,176,68.4,35
23,171,71.8,35
32,164,72.5,35
30,163,62.7,35
34,170,80.3,35
27,162,65.3,35
28,182,80.0,35
31,175,56.7,35
22,169,66.7,35
17,169,68.1,35
30,169,63.8,35
25,177,77.2,35
30,185,74.6,35
25,182,77.8,35
20,175,55.7,35
33,180,81.1,35
25,172,65.8,35
29,178,80.3,35
23,171,64.0,35
33,161,59.4,35
21,184,88.6,35
33,161,59.5,35
32,176,74.0,35
33,163,56.7,35
26,173,61.3,35
17,173,67.7,35
30,163,53.3,35
23,183,71.2,35
20,169,65.2,35
26,183,75.9,35
18,163,68.1,35
21,161,45.0,35
23,187,76.8,35
29,169,70.1,35
28,184,78.7,35
30,169,62.8,35
21,166,70.4,35
34,165,60.9,35
22,168,54.9,35
21,173,70.4,35
25,183,93.7,35
33,177,63.4,35
22,160,69.7,35
28,192,88.4,35
30,168,56.9,35
24,187,83.1,35
28,172,70.6,35
35,166,57.4,35
28,161,55.2,35
21,164,54.9,35
21,186,81.5,35
28,172,65.2,35
28,156,46.2,35
27,167,60.6,35
18,178,76.2,35
20,166,74.0,35
31,172,57.3,35
28,154,52.5,35
24,158,50.6,35
24,166,69.4,35
25,174,78.9,35
22,166,61.1,35
27,173,68.0,35
35,159,75.7,35
34,179,74.3,35
34,177,67.1,35
22,177,65.5,35
24,172,68.2,35
29,158,51.9,35
23,171,67.1,35
27,181,71.0,35
21,184,70.3,35
33,170,66.7,35
30,184,76.8,35
33,179,80.8,35
18,162,66.3,35
25,170,62.6,35
25,187,81.0,35
21,160,45.2,35
35,184,77.5,35
33,169,61.1,35
32,169,68.7,35
17,162,63.7,35
35,161,69.9,35
25,173,76.1,35
30,171,65.9,35
25,177,72.8,35
32,184,78.8,35
34,174,79.0,35
30,190,75.3,35
24,189,93.3,35
32,172,62.3,35
35,162,60.7,35
22,187,84.6,35
26,161,51.8,35
28,176,74.9,35
23,174,60.5,35
27,177,73.7,35
21,175,69.6,35
22,186,98.3,35
29,178,69.1,35
22,174,65.2,35
28,167,60.3,35
30,167,63.6,35
26,165,61.0,35
34,182,72.9,35
20,164,57.3,35
27,169,69.5,35
34,155,61.2,35
31,167,63.2,35
24,177,86.2,35
21,148,51.0,35
33,161,62.2,35
20,168,66.6,35
31,163,74.0,35
34,165,52.5,35
30,183,89.7,35
29,167,60.7,35
17,174,57.2,35
29,173,60.7,35
32,171,77.0,35
25,151,59.2,35
20,169,67.6,35
24,166,61.9,35
17,189,82.9,35
31,167,71.0,35
18,163,76.2,35
30,180,82.3,35
25,159,53.6,35
17,171,84.3,35
21,175,70.2,35
24,163,55.7,35
23,156,63.5,35
28,177,75.9,35
33,167,60.6,35
17,185,82.3,35
22,173,68.2,35
27,172,61.9,35
24,159,59.4,35
32,170,75.8,35
33,167,74.4,35
21,162,57.3,35
20,179,62.7,35
24,161,59.0,35
28,150,54.9,35
17,189,75.9,35
31,174,70.7,35
20,174,74.6,35
31,168,57.1,35
25,168,71.3,35
17,149,58.6,35
32,178,69.1,35
21,166,72.6,35
20,189,78.6,35
21,179,65.9,35
19,176,64.4,35
31,168,60.8,35
19,187,71.2,35
35,171,64.5,35
35,179,94.4,35
24,165,69.8,35
35,165,64.9,35
31,162,62.4,35
22,174,55.5,35
27,162,58.7,35
33,153,46.3,35
25,190,80.5,35
32,163,59.3,35
32,180,76.3,35
34,177,72.2,35
23,186,86.6,35
27,158,55.4,35
25,157,65.5,35
30,162,62.9,35
35,192,103.5,35
30,155,56.1,35
22,170,49.8,35
31,176,75.5,35
19,179,90.4,35
28,182,70.3,35
31,161,72.3,35
17,169,75.4,35
18,175,66.0,35
18,164,61.6,35
23,182,55.5,35
22,174,71.8,35
24,161,62.6,35
24,177,54.6,35
25,156,53.1,35
21,156,47.2,35
26,163,51.2,35
17,178,64.3,35
19,166,68.4,35
19,164,65.0,35
21,155,59.4,35
25,165,70.3,35
